audio,text,length,start,end,label
.\data\audio\bGFkdfYPPAo_0.wav,이 썅년이 쌍년 짓을 하려면 제대로,3.061,0.539,3.6,12.0
.\data\audio\bGFkdfYPPAo_1.wav,해,1.02,3.6,4.62,0.0
.\data\audio\bGFkdfYPPAo_2.wav,그래야지 안 되고 난이 안 되는,1.4399999999999995,4.62,6.06,0.0
.\data\audio\bGFkdfYPPAo_3.wav,거야,1.6400000000000006,6.06,7.7,0.0
.\data\audio\bGFkdfYPPAo_4.wav,나이 어린거,2.7399999999999998,7.7,10.44,0.0
.\data\audio\bGFkdfYPPAo_5.wav,언제까지 어려 내년에도 어려,2.1590000000000007,10.44,12.599,0.0
.\data\audio\bGFkdfYPPAo_6.wav,훈연이도 어릴 거니 이제 아무리,3.119999999999999,12.599,15.719,0.0
.\data\audio\bGFkdfYPPAo_7.wav,콜라비를 처먹고 쳐 바르고 용을 써도,3.301,15.719,19.02,0.0
.\data\audio\bGFkdfYPPAo_8.wav,네 살인 어림도 없다는 뜻이란다,3.120000000000001,19.02,22.14,0.0
.\data\audio\bGFkdfYPPAo_9.wav,이 어리기만한 년아 그래서 뭐,3.2989999999999995,22.14,25.439,12.0
.\data\audio\bGFkdfYPPAo_10.wav,뭔데,1.440999999999999,25.439,26.88,0.0
.\data\audio\bGFkdfYPPAo_11.wav,원하는게 뭐냐고,1.0800000000000018,26.88,27.96,0.0
.\data\audio\bGFkdfYPPAo_12.wav,씨발년아,0.8990000000000009,27.96,28.859,12.0
.\data\audio\bGFkdfYPPAo_13.wav,야이,1.259999999999998,28.859,30.119,0.0
.\data\audio\bGFkdfYPPAo_14.wav,씨발년아 미친년이,2.341000000000001,30.119,32.46,12.0
.\data\audio\bGFkdfYPPAo_15.wav,좆밥이다,4.619,32.46,37.079,12.0
.\data\audio\bGFkdfYPPAo_16.wav,먼저 일어날게,2.4609999999999985,37.079,39.54,9.0
.\data\audio\bGFkdfYPPAo_17.wav,씨발년이 다음 일정이 있어서,1.8000000000000045,39.54,41.34,0.0
.\data\audio\bGFkdfYPPAo_18.wav,돌았네이 씨발년이이,1.6599999999999966,41.34,43.0,0.0
